text,label,reason
Excellent experience and everyone I came in contact with had smiles and a pleasant attitude. They made a gruelling task much more pleasant and for that I greatly appreciate them. Good leadership does pay off and it is noticed by your customers. Thank you!,none,nan
"I've done business there for many years. I have never had a bad experience. The staff changes frequently, however, they have always been courteous. Sometimes there is a long wait after paying for truck and being able to drive off. There is a shortage of staff during busy times, weekends!",none,nan
"Very clean facility, well organized and amazing customer service!",none,nan
"It's clean enough, and I've had a ben in there for about 5yrs I'm without any problems",none,nan
The Best uhual,none,nan
"Well stocked inventory, helpful staff",none,nan
Easy to reserve and rent a U-Haul here. They have storage areas available for short-term or long-term storage. I rented a truck for a day to pick up furniture and it saved so much time and energy by having the truck as opposed to other delivery options. Tip: Make sure to fill up the gas tank before returning to save money as the price they charge for gas at the U-Haul center is higher than market rate,none,nan
"Waited outside for 20minutes for 5 boxes, couldn't get them because I needed to be at my niece's wedding",none,nan
"The facility was very clean, the staff was very professional, and they had plenty of vehicles.",none,nan
They was great there they customer service was awesome,none,nan
rented uhaul for few hours. Very good customer service. We were in and out very smoothly. great location also,none,nan
A well situated storage unit location that has both temperature controlled and regular units of various sizes to fit the needs of the customers. The customer service people are on par and attentive. Tip don't lock your uhaul key in the cabin. Roadside assistance doesn't cover the locksmith and it's a $65 (starting price) cash only!,none,nan
Staff can be cool at times. But with the public in the back u must not ever turn your back on your belongings cause they will be stolen its like clock work there are people that snoop around and listen to every thing u say just so they no where what you have and if you mention anything else about personal goods be aware because they will steel that do always take somebody,none,nan
Easy in and out ( on a rainy Sunday morning). Very helpful in helping me find the products I needed for my move.,none,nan
No thank you...playing games with hidden fees and penalties..not ever again!,none,nan
I went into the uhaul facility on south Capitol and p drs sw just to pick up a bundle of moving boxes. We were greeted as we walked in the door. When I had a question the newest employee Sabrina came from behind the counter and walked over and explained the difference in prices for the supply pack and the individual boxes. Once we made or selection she rang us up and was most courteous . She said she had only been there for 3 weeks and did not hesitate to ask for assistance from her colleagues w,none,nan
Really great customer service and very clean location. Good access to the storage units and well lit location.,none,nan
nice staff.,none,nan
"Had an extremely easy time working with this U-Haul location. Not too busy, very helpful, and it's quick to get your truck and head out.",none,nan
Easy in and out.,none,nan
Friendly and patient staff. Great prices.,none,nan
"Very sloppy, lack of service. Feckless in every sense. Go to Springfield u-haul. Craig is very helpful.",none,nan
"Clean place, nice staff, and the prices are better than public storage down the street. Highly recommend it.",none,nan
Great customer service & very professional,none,nan
Teairra Bundy was incredibly helpful in getting the move in process done quickly. She made me want to come back to this location in the future!,none,nan
They need more staff working here to check people out in the morning and then return the trucks at night. I probably spent more than an hour just waiting in lines trying to pick up and drop off keys.,none,nan
You guessed it,none,nan
Great Service.,none,nan
Convenient downtown location with a ton of trucks available,none,nan
Dirty. First time I rented here I was given a trailer missing a pin to keep a part from dragging on the road. Once I noticed it was very scary driving.,none,nan
Very efficient and pleasant staff.,none,nan
The walk was great exercise.,none,nan
Excellent customer service and quick and efficient,none,nan
Very simple and accommodating!!,none,nan
"Clean ztore, professional staff",none,nan
Good service.,none,nan
Always great service,none,nan
Staff was helpful,none,nan
You can get free boxes here!,none,nan
"Knowledgeable, polite, clean.",none,nan
Always prompt.,none,nan
Such great service,none,nan
They provide a truck for more than 19.75!,none,nan
"Quick, efficient, and friendly",none,nan
No orginization.,none,nan
Poor customer service,none,nan
"Great store! Leah is always friendly and helpful, and she keeps her store stocked with all the basic (and many not-so-basic) kitchen needs and seasonal desires.",none,nan
Excellent selection of kitchen related goods for how small it is. Definitely worth stopping in if you’re looking for something or need a gift.,none,nan
"Awesome, awesome, awesome experience from start to finish. Leah is so knowledgeable about every single item in her store and was exceptionally patient while I figured out what type of knives I was looking for. Her expertise and clear explanations helped me really narrow down my options. I look forward to purchasing more cookware in the future because I know —without a doubt— that I can ask Leah and get straight answers. She had all of them! Additionally, she took numerous COVID precautions, incl",none,nan
Hill's Kitchen is a great local (woman-owned) kitchen shop. The staff is super helpful and the store has a good selection of high-quality items. I recommend shopping here and supporting this local business.,none,"Legitimate, on-topic review of the business."
"A lovely small business with a host of wonderful products- cookbooks, pots and pans, etc. The staff’s knowledge is amazing. I bought an obscure cookbook and they were able to point out exact recipes I’d like. The staff also goes to great lengths to ensure customers purchase the proper products. They quizzed me on my intended usage for a frying pan before offering a recommendation.",none,nan
"What a lovely local business! Staff is nice and welcoming, and there are a decent amount of kitchen selections. I definitely try to come here for my kitchen outfitting news.",none,nan
Such a cute store! I know if I ever need a gift for my chef friends or just want something to sprouts up my kitchen I can go to Hills Kitchen! More often than not I’ll find something I wasn’t looking for or didn’t know I needed. So glad to keep supporting this local business. Highly recommended!,none,nan
"Friendly staff,nice selection of cooking tools.",none,nan
"Hill's Kitchen seems to be an important store to the local community, and I love that the owners are friendly with people in the neighborhood! They carry a wide range of products that make me super excited to decorate my kitchen. I'm so glad this place exists, and just wish some of the staple items were a bit less expensive.",none,nan
"Love this store, it's a staple of Capitol Hill with some knowledgeable staff and somehow they have everything, just ask if you're in a rush. Definitely fun to just peek in every now and then, you might just get some ideas for how to improve your kitchen. Fair prices too by the way.",none,nan
"The best kind of local business. Leah and her staff genuinely want to know what you're doing in your kitchen, so they can supply you with only the things you need. I've been going here for 6 years now, and will keep going here as long as I'm living in DC.",none,nan
"It's a small store, but they manage to fit a large selection into it. They have at least two options for most major kitchen appliances, a good knife selection and a wall of pots and pans. I've been building a kitchen recently and this store has become my go to location for kitchen tools. The staff is very knowledgeable and is happy to help. I love to support local business, and this place has become my spot for kitchen needs",none,nan
"I am so glad this store exists in Eastern Market. It adds a neighborhood feel to the area. Located right next to the Eastern Market Metro, it's easily accessible. The staff are super friendly and helpful. It's the bottom floor of a beautiful row house and has any kitchen need you can imagine from state shaped cutting boards to fancy wine glasses.",none,nan
"Lovely little shop that has some unique items that make it more than a kitchen goods store. One more than one occasion, I've gone in for the states-shaped cookie cutters to send to friends, and have sent others there who are looking for gifts for their favorite bakers. They also have an excellent range of gifts for kids who want to get into cooking, with lots of small tools for tiny hands.",none,nan
"Amazing store. The staff is super friendly, helpful and knowledgeable. My wife and I did our wedding registry through the store, which was a great experience, and many of our family members heaped praise on Leah, the owner.",none,nan
"Wonderful kitchen gadgets and some gourmet foods, nice knives, high quality stuff and very, very friendly people. Could't be closer to Eastern Market Metro. Best of all their own designed , knife fork and spoon DC flag for people who love to cook (play with their food) and love DC this is a must have.",none,nan
Carefully selected kitchen items with knowledgeable folks and friendly atmosphere,none,nan
"Love this place! Small store, but a great selection. A very good seasonal selection. Leah, the owner, is absolutely fantastic.",none,nan
"A lovely, friendly neighborhood store. Well stocked. Lots of fun gift items.",none,nan
Love this place. I always find cool things for gift giving.,none,nan
Super knowledgeable and friendly staff. Dog friendly store with a huge selection of supplies from necessities to great kitschy gift ideas.,none,nan
Looking forward to visiting more. Lots of kitchen goods. No other housewares. Lots of baking and ice cream tools,none,nan
"Great Service, great selection!!",none,nan
"Great kitchen supply store, in the middle of SE.",none,nan
Lovely little kitchen novelty shop,none,nan
Thia place has everything.,none,nan
"I’m done with this place. Two days in a row came in to buy pain killers and couldn’t get anyone to open the cages they’re locked inside. It doesn’t even matter that the employees are friendly, this store must be way understaffed when you can’t even get medicine in a drugstore!",none,nan
CVS is like purgatory. Nothing against this particular CVS but every CVS I go into is Bland's the service is terrible and I assume it's because they're not paying any of their employees enough to give them incentive for it. everything is overpriced and even on the app I'm never sure if I'm going to leave feeling like I got what I needed out of it.,none,nan
I've shopped here from time to time - staff was very nice. Products were available and not reasonably priced (although not as low as some other convenience store locations),none,nan
"I feel as though it's your regular CVS. Very convenient location, right by the Georgia Ave/Petworth Location. May not be the best as far as having everything, but I have gone there for basic needs and not had an issue. Not much store assistance. Walked around multiple times looking for a cream, maybe passed and employee twice and wasn't offered any assistance...but overall nothing but regular CVS experiences.",none,nan
"Friendliest CVS Staff I’ve ever encountered, but there’s always one cashier. The wait in line can be very long, especially without self checkout.",none,nan
Pharmacist Mehret is extremely helpful and knowledgeable.,none,nan
"The staff here is friendly, but this store is very drab. It feels like a prison inside and the ‘decor’ leaves quite a bit to be desired. It could definitely use a facelift like some of the CVS and Walgreens locations downtown.",none,nan
"I been a customer for years and I especially like, The greetings I get from pharmacy staff. Always service with a smile I been in pain when I arrived, but when I leave I don't think about the pain because where just like family. Overall great store!.",none,nan
Extremely poor service. Pharmacy service has gone downhill over the last 6 months. Pharmacy does not pickup calls. I had to literally call the store mamager to inquire abt prescriptions on several occasions. Robo calls stopped completely. Text notifications sporadic.,none,nan
Store is kind of a mess. Quality of service varies. I don't actively avoid this CVS like I do the one in Columbia Heights.,none,nan
"While this is a fairly new CVS, the service is only average.",none,nan
"The pharmacy here is the worst, though most CVS pharmacies suck. They are ALWAYS understaffed and there's always some problem. Never fill your prescription here.",none,nan
Just a basic CVS.,none,nan
"Food quality is pretty good. You pick up meal plans, purchase frozen meals, buy smoothies or actual prepared food all at a convenient price. It can be an overwhelming experience because there is not a lot of guidance going in. If you can self navigate or aren't afraid to ask questions you can make this place work for your needs.",none,nan
"I was walking down H street looking for a place to eat a couple hours before the gym, and stumbled on this Mecca for anyone intentionally eating and drinking to lose, maintain OR build their body. They offer wide range of fresh and frozen meals, as well as many types of healthy drinks. I got 2 frozen meals (which they were happy to heat up for me to eat there), Cajun ground beef and Asian shredded beef for $7.50 each. That's a great deal compared to other food prep services, on top of which they",none,nan
"If you are health conscious and are interested in having a convenient option in the city then I highly recommend Clean Eatz. I went during the dinner hour (6:00PM)and quickly parked and had my dinner and also a meal to go in about 20 minutes, my food was hot and tasty..I purchased the Watch your Waist with Salmon and I got a togo meal to prepare later. You should definitely try if in the DMV...#Mealprep to go👍",none,nan
No complaints here. Can't wait to try out the meal plans.,none,nan
This was our first time try it out clean eatz I use a Groupon the food was great I highly recommend there protein French toast my daughter loved it I myself had the bowl which was great as well we will definitely be going back I'm glad to see that there is a place like this in my neighborhood and I don't have to travel so far,none,nan
"Wow, the quality of this place has really gone down. 50% of the time they mess up your order, their smoothies aren't made from real fruit and LOOK how burnt my pancakes are. Can't believe they had the nerve to deliver these to me.",none,nan
"Came in on #MLKDAY! and was not disappointed. Staff is patient and on point, and the food is delicious and not to be missed. Clean Eatz is now in rotation on my go-to spot list.",none,nan
A very good variety of healthy options. Also can custom order meal plans for any dietary restrictions.,none,nan
"Very unique!!! Easy, no frills menu! Lots of options & the Mango water is awesome! I've only visited once, but I plan on returning",none,nan
My first time in this business enjoyed the veggie wrap,none,nan
Very fast service good place to be,none,nan
"Get food that's clean, healthy, and lists ingredients and nutritions. Some items are bland, so order carefully.",none,nan
I like the healthy choices.when I came back the store close or maybe change.,none,nan
"Working long hours in the hospital or clinic had deterred my healthy lifestyle choices. Clean Eatz has me back on track. The cost is only slightly higher than my food budget, but it is worth it.",none,nan
👍🏽👍🏽,irrelevant,"Contains only emojis, no relevant content about the business."
"Its closed folks, for good From what I've been told Its was nice for all the years it lasted",none,nan
"I consider this place my personal ""cheers pub"". The people are friendly and it's a very professional crowd during the week especially during happy hour. -great drinks and drink specials -Sunday karaoke 9pm -1am - Saturday day parties once a month with DC fellaz entertainment - Talent competition once a month with iconic Souls entertainment - happy hour extends the whole day on Monday Tuesday and Wednesday - First Fridays parties with various promoters",none,nan
Great Dance floor last of its kind in DC Sold recently so ya better get your dance on while you can.,none,nan
This place was short at least two bartenders. Waited 20+ minutes just to order a drink. Won't be going back any time soon.,none,nan
I used to go there when i was heading to other clubs in the same general area back in the 80s and 90s when I lived in DC and Va.,none,nan
(Translated by Google) Strong drinks .... heyyyy! (Original) Strong drinks....heyyyy!,none,nan
Loved the food and libations. The renovations on the inside are upscale. Not handicap accessible to the Rest rooms on the second floor.,none,nan
Good place to eat. Great people.,none,nan
Excellent salmon with shrimp and calamari.,none,nan
Nice food.,none,nan
Nice and clean,none,nan
Excellent venue Backdrop of the Capitol A Capitpol Experience,none,nan
Awesome view. Great place for a corporate event during the summer.,none,nan
Beautiful views and location. The food was really good too. It's a rooftop and is an amazing venue with great service and food.,none,nan
"I was here for a conference dinner on the rooftop. The food was lackluster and ran out multiple times. the event was by reservation only so it was not as if Capitol View had no idea on how many patrons to expect. The two bars that were on the rooftop were cash only and hard to navigate towards. The bathrooms were also located a fair distance away. After a bit of socializing (like an hour), many of my peers decided to go to another venue.",none,nan
Beautiful rooftop location provides lovely views of the Capitol in all its glory.,none,nan
Spectacular views. Great venue,none,nan
Beautiful place.,none,nan
nice for venues,none,nan
"Layla Lounge is the place to be. Open space, cool atmosphere, what's not to love. I was here on Monday for Munchies Monday. We play cannabis bingo and have a great time.",none,nan
"Always 420 events, great atmosphere",none,nan
"I went for a very disorganized event... So this may be somewhat biased... But the venue was kind of dark, nothing looked new or modern, upstairs and downstairs are not that big, weird location.",none,nan
This place was horrible. The advertised open bar and buffet never happened despite paying a fee. Straight up scam club. Avoid at all cost!,none,nan
Need a extra floor wider space for venue...,none,nan
Awesome vibes,none,nan
To hood for me 😮😔😔,none,nan
Loved it!,none,nan
Horrible,none,nan
I love Margot she's the best & her staff is friendly as well . Never left this place unhappy,none,nan
IBE IS THE BEST!,none,nan
Lisa does a great job!,none,nan
Can't complain good place,none,nan
Yeah splendid,none,nan
Good job,none,nan
(Translated by Google) Very friendly! (Original) Muy amigable!,none,nan
A bit pricey. Well stocked and staff is pleasant.,none,nan
Nice store usually quick and attentive.,none,nan
Expensive. Try Fairmont down the street.,none,nan
There price are fair.,none,nan
Staff was friendly and efficient. Work related drug test was completed in only a few minutes. There are a few parking spots next to the building but the street behind allows free parking for up to 2 hours. Plenty of neighborhood parking. Also conveniently located near the metro station.,none,nan
"Staff was very polite. Keep in mind the hours for Physicians is in fact different and is 9:00am to 2:45pm. Otherwise I have no complaints, great and conveniently located service.",none,nan
Quick polite service!!!,none,nan
Poor customer service short-term quality products reasonable price I'm not sure the health department will pass this place though,none,nan
"Nice store 4 women 2 shop 4 different items, they just don't have good clothes or accessories 4 plus size women.",none,nan
"I went to get my daughter uniform pants and under clothes from this store. Staff was helpful, friendly and it didn't take long.",none,nan
Friendly Staff very Professional,none,nan
Very Convenient and the staff are always helpful.Shirt and pants came from Rainbow...,none,nan
Rainbow staff was very nice very curious and it's very clean and neat there,none,nan
Needs more space store is too crowded looks like a Little thirf store,none,nan
If you are looking for a jean jacket you can find one there,none,"On-topic, valid review of the business."
Lot of stuff.Needed more store floor space,none,nan
A little cluttered but nice to shop in,none,nan
It was uneventful.,none,nan
Been using this Ace for years never had a issue and the lady in the front is so professional and so dedicated to what she does Ms. LaJuan I truly appreciate people like you that love what they do and do it professionally thank you,none,nan
Lajuan very good employee,none,nan
The clerks are nice but most of the customers are rude and nasty.,none,nan
Very helpful and supportive,none,nan
Lajuan the best,none,nan
Getting paid two days early with direct deposit. Plus able to use my card anywhere for any transactions...,none,nan
Smelled like a sewer and it was dirty,none,nan
The lines be extra long customer services decent,none,nan
Good customer service ...,none,nan
One of the rudest places I have ever been in won't go in anymore.they never have more than one person working.I have never met a staff member that wasn't nasty and rude if u can do your business elsewhere please do.I give this place 000000 stars.,none,nan
The employees were very friendly,none,nan
"Great service and location. After work can be busy but the line move somewhat quickly try to get there as close to 5 as you can, the closer to 6 p.m. the more likely there's usually at least 5 people waiting. Saturday morning when they open at 11 is also a great time to come. I prefer this location over the u Street location because of the technicians.",none,nan
"First time client and she did an amazing job and listened to my needs. While it is $15 for eyebrows which is more expensive than my usual spots I will be returning. It's convenient, right by work so I don't have to compromise time with my husband and kids on the weekend.",none,nan
"My eyebrows are always on point after leaving the shop. I love my Threader. She's friendly, professional and has an eye for perfection!",none,nan
"Excellent service. Rarely have to wait; when I do, the wait is short. Price is reasonable.",none,nan
"Good local place in dc for eyebrow threading, although it’s a bit dirty walking there, underneath the stairs in the basement .",none,nan
I had to come back twice and the service wasn't that good.,none,nan
The food tasted great once it was prepared. We always get the stuffed crust cheese pizza and wings. There seems to be an error with the app. Our order was placed at 602pm and still not ready an hour later at 702pm when the 'track my order' feature stated my food had been 'picked up'. The employees seemed to be stressed on this particular Friday night and the female in the front making pizzas with her pants half way down seemed to not be in the best spirits but still trying to get everyone's orde,none,nan
"I usually order from the 11th street store and am happy with their pizza tonight however I tried to order their $10 special of two large two topping pizza for takeout online.Their site would only let me order one pizza and wouldn't let order the second.After multiple attempts online I called the store to order the ""special"" .The woman t as king my order said ok and repeated the order back to me, and told me it would be 20 minutes until the oder was ready. I get to the store and she rings my oder",none,nan
"Ordered a pizza at 6:30. Was told it would take an hour. Driver showed up at 7:47. By the time I read the box and saw that it was someone else's pizza, she had driven off. I called the store and they said they would send her back. It has now been 30 more minutes, nearly 2 hours since I ordered, and when I called the driver 10 minutes ago all she would say was she was ""on her way."" Never again.",none,nan
"Good pizza, maybe theres street parking out front.",none,nan
They are so unsanitary.. I went to pickup my order. Paid the cashier. This same cashier (without washing his hands) then proceed to knead the pizza doe.. My response.. please refund me and thank you.. goodbye,none,nan
"Pizza was good, delivery was ok",none,nan
The pizza is great 🍕!,none,nan
Good Pizza Too legit,none,nan
"Took order on app, charged card, said was delivered via app, said it was almost delivered via phone...on hold 20 minutes and then hung up...WORST, WORST service and customer service of any pizza chain or delivery service in DC. Don't wast time or money.",none,nan
Add 30 minutes minimum to the time they say your food will be ready,none,nan
Delivery took twice as long as it was promised to.,none,nan
It's Papa John's. It's pizza.,none,nan
Accountable,none,nan
"Always an amazing time here. The staff is incredibly timely and attentive when appropriate. Brent, the owner and sommelier, is so friendly and responsive. I sent an email this morning asking to clarify reservations, Brent answered before the restaurant opened with a full and complete answer. For reference, it is walk in as long as you are not booking out the inside. The wines are hand picked, always different, and always incredible. The food is good, but this is not somewhere that you are going ",none,nan
"We ordered a reasonably-priced bottle of wine that turned out to be unavailable, so staff served us a comparable bottle that was twice the price without letting us know. Service was OK.",none,nan
Love this wine bar! An excellent selection and great service. They have patio and indoor seating.,none,nan
Good selection of wine. Interesting concepts. Great knowledgeable staff. Doing well with keeping people safe but can’t wait to see at full capacity.,none,nan
Very friendly staff. Really appreciate being able to sit out on the sidewalk. We ordered a variety of wines and a few appetizers. Enjoyed the variety and quality of the food and drinks available. Great spot to stop in before having dinner any any of the nearby restaurants.,none,nan
Terrible service but great location,none,nan
"PROFITEER WARNING for most pet owners, man's best friend is another member of the family and deserves the best care, but you need to be alert to profiteers, some of the veterinarians at this place are out to make an extra buck, they pad the bill with unnecessary tests and procedures. Speaking from experience, I suggest you approach this otherwise excellent veterinary clinic with caution -- never hurts to question your doctor so why not your dog or cat's.",none,nan
"Dr Murdoch is very capable, compassionate, and communicates clearly recommendations and options. My Buddy cat is recovering very quickly from an urgent procedure. Everyone else I encountered was professional and helpful.",none,nan
"In the first few years that this clinic opened, I had to put down my cat. I went there because it was close and I could see how they handled me and my pet. They gave him the ultimate dose before telling me that this would be it! So I had no chance to say good-bye to him or pet him! I was really upset. Today, 2016, I needed their cooperation to work with another vet's office to get some pain medication today for my new cat who has cancer. I called three times in the a.m. and never got a response.",none,nan
"This place misrepresented itself, and made untruthful statements both verbally and in writing. The practice manager, Richard Cohen, admitted that his wife and friends work at Friendship Hospital for Animals, which negligently/maliciously gave my cat dog medication and caused him to suffer. My cat had to be put to sleep as a result of the negligence of Friendship Hospital for Animals. Friendship Hospital for Animals was under investigation for animal abuse/cruelty and Dupont Veterinary Clinic pro",none,nan
Great place although a bit expensive. However they outlined the cost every step of the way and Dr. Dan was fantastic!,none,nan
"Outside of the parking aspect, a great place to take your pets if you want quality care!",none,nan
"Alley has some very useful spaces which I've been to several times. The startup I'm with used it when we needed a conference room and they had a bigger space for a large meetup presentation I attended. They take your photograph when you first use the space and have a coffee, tea, and various kitchenware for general use.",none,nan
It's a great co working space but the bathroom needs an upgrade.,none,nan
Nice place to co-working!,none,nan
Small Business Project for DC Public School children Thanks Verizon,none,nan
Friendly staff,none,"Legitimate, on-topic review of the business."
"I had a very nice experience at this Hertz rental office. Service was efficient (despite a slow computer). I asked to change my car as it was a three door car and the tank was half empty, and that was done immediately. I wish to thank the local branch manager, Megan, who was very kind and efficient!",none,nan
"I had to rent a car a number of times these last few months and have gone to several different locations, including with other companies. I appreciate the customer service here, especially Tyler. On a previous rental, when I got lost, he help me navigate to their location. I was dealing with a serious medical emergency regarding a parent about a hour away and needed to get back my rental. Tyler was kind to say that I can stay at the hospital and get the car back as soon as the emergency was sett",none,nan
"You have to walk back through the Hilton lobby to find the small desk. They got me in and out pretty quick. It was an easy experience, and much more convenient than going to DCA if you live on the red line. The car was nice and clean. I would go back.",none,nan
Megan is awesome. Perfect service,none,nan
We had a good experience overall but didn't get the exact model we reserved. Customer service was good (helpful and informative).,none,nan
Fabulous customer service great location,none,nan
"Friendly, convenient.",none,nan
Horrible service. Trying to drop off the keys but no one is here! Also the key they gave me for the car malfunctioned the entire time! Save yourself some time and hire a car somewhere else.,none,nan
"Very little time, and explained my results perfectly",none,nan
"Quick, painless, diagnostic that's more useful than a doctor's visit. Actionable intelligence in the fight against obesity, the results were explained expertly by a knowledgeable technician. Thanks Ivana.",none,nan
"Really like this place! I've gotten 3 DEXA scans there and they've been extremely helpful in explaining my results, explaining my progress, and being flexible should I need to reschedule. Cannot recommend enough.",none,nan
"I did the DEXA Scan with Mitch. Very informative, quick, easy. Mitch answered all my questions and was very knowledgeable",none,nan
"Parking is tough (watch out for street cleaning, $45 ticket) but the quality of Composition ID's service is very good. Staff is well informed in what they're doing and the environment of the office is clean .",none,nan
"The scheduling was really easy. I've completed many body composition tests in the past (calipers, bod pod), but Dexa scans are the clear winner. Didn't have to get undressed. It was quick, and the in depth reporting was great!",none,nan
"Best place to get a DEXA scan and the staff is very professional and friendly. Also, they offer RMR and VO2Max in addition to nutrition counseling.",none,nan
"Good experience, helpful staff.",none,nan
The food🍲 is delicious😋😋😋😋😋😋😋😋😋😋😋 good customer service all the staff... In special.. Mr. Alex.. Great place....!!,none,nan
"Morazan has warm staff, fair prices, and fresh foods. In addition to normal groceries they have delicious prepared foods including tamales. Highly recommend if you are in the area.",none,nan
"Store is pretty good for being a local store. It has a lot of variety in this store. From fresh vegetables, different kinds of spices, and a food stand. Would absolutely recommend this to a friend.",none,nan
"Good Mexican/C. American grocery store, very convenient for the neighborhood.",none,nan
"Small store whit diferent produts, they serving cooked food to.",none,nan
My favorite community store... Love this store,none,nan
"Great local ""ethnic"" market.",none,nan
Nice clean convinience store,none,nan
Good food.,none,nan
nice lace 2 shop at,none,nan
fresh fruit,none,nan
(Translated by Google) Very good (Original) Muy bueno,none,nan
(Translated by Google) Warm place very nice good service and you find everything (Original) Calida lugar muy vonito buen servicio y encuentras de todo,none,nan
"(Translated by Google) They have a wide variety of national and international products, a good variety of prepared foods and good customer service. (Original) Tienen gran variedad de productos nacionales e internacionales buena variedad de alimentos preparados y buena atención al público",none,nan
(Translated by Google) Good food ! (Original) Buena comida !,none,nan
(Translated by Google) Ok thanks for it's good food (Original) Ok gracias por que es buena comida,none,nan
(Translated by Google) They have a variety of Latin products😎 (Original) Tienen variedad de productos latinos😎,none,nan
(Translated by Google) Good place to shop (Original) Buen lugar para comprar,none,nan
👍👍👍👍👍,none,nan
"Lots of unnecessary fire alarms, and rats! But still like it because of the kitchen, which is a good side for all the Muslim students who only eats halal!",none,nan
"I actually stay in Towers East but since West is pretty much the same, it's arguably the best dorm on Howard campus",none,nan
"One of the better dorms on campus, but it still has its ups and down",none,nan
"Outside parking is nearly non existant, plan accordingly.",none,nan
Moving my son in for his sophomore year at Howard University.,none,nan
HU forever always will be home,none,nan
Convenient place to live in DC,none,nan
The Dorms,none,nan
Not to bad,none,nan
WARNING: LIMITED PAY PARKING might be an issue as there is every imaginable establishment in the neighborhood ranging from coffee shops and a wide range of restaurants to a hardware store and shoe repair shop so parking might not be available.,none,nan
My favorite laundromat,none,nan
sweet,none,nan
(Translated by Google) This place is good but it must improve because there are many bad machines .... This place I'm mine is good but can make better because have aloft machine bad .... (Original) Este lugar es bueno pero debe mejorar por que hay muchas maquinas malas .... This place I'm mine is good but can make better because have aloft machine bad....,none,nan
(Translated by Google) It has comfort but it is not the best in the area. (Original) Tiene comodidad pero no es la mejor del area.,none,nan
Got my boyfriend a cut while on vacation. Everyone was very friendly and welcoming. They did a great job on his hair too. It is a black barbershop with no problem cutting white hair,none,"Legitimate, on-topic review of the business."
A place where guys chat about sports & politics as well as getting groomed .,none,nan
Very nice shop. Very professional,none,nan
Love this shop go every Thursday go place to talk sports and you will get a great cut,none,nan
Great service and attention to detail!,none,nan
I went over there Tuesday,none,nan
They are very fast,none,nan
"Staff and customers all very chill and friendly, classic neighborhood barbershop.",none,nan
Black Excellence...,none,nan
"I've been to the Banfield in SW and was always treated as a valued customer, and my cats were always well-cared for. The same cannot be said of this location. At this point we've visited twice. The first time we came, we were not informed of their ""dropoff only"" policy, and it was raining. We and our cats were left outside in the rain for 10 minutes before they came and brought them in. They tried to make up for that with a complimentary nail trim, which was nice so we thought we'd give them ano",none,nan
They took really good care of my lil Fella,none,nan
The personnel is awesome. Mr. Cook gave exceptional customer service.,none,nan
"Love that they really keep you informed. The vet spoke w/me after seeing my dogs and was more thorough than any vet I'd seen before in the DMV (City Paws & Takoma vet clinic, to be exact.) Dr. McFarland and Ulysses, plus a young woman whose name I regretfully did not catch helped me and my dog that day. They were wonderful.",none,nan
"My best pal, Mick Jagger goes there. I couldn't be happier. The level of care and the in depth exams are a plus. Their health plans are awesome. Their professionalism goes above and beyond. I couldn't recommend them more. They are just awesome",none,nan
Very happy with how they took care of my cat,none,nan
I brought my dog in for an examine; glad I did! My dog's behavior said it all! I'm loyal forever!,none,nan
Took my new puppy here and had a great experience! Other vets in the area seemed like they were always trying to upsell but Banfield put him on a comprehensive insurance plan that covers unlimited office visits so I don’t worry about being “sold” services I don’t need. I will be bringing my cat here from now on too!,none,nan
Amazing staff. And love for my pup!,none,nan
"Although my 1y/o Daisy the pug is a patient at the Navy Yard location, Adams Morgan staff welcomed her there for a nail clipping. Everyone there were nice & gentle handling her and like NavyYard techs nicknamed her ""Crazy Daisy"" which that is what she is 🥰",none,nan
I called and was put on hold for ten minutes. Called back and they picked up the phone and hung up. Whoever worked the counter at 1:30 on 9/29/2020 isn’t good at answering phones.,none,nan
Amazing compassionate professional,none,nan
"Very happy with Banfield Pet Hospital. My hysterical cat, experiencing his 2nd vet visit, was calmed by the doctor and even allowed her to clip his claws.",none,nan
Excelent place for your dog,none,nan
(Translated by Google) Good attention (Original) Buena atención,none,nan
Behind George Washington Monument. Slightly out of light. Cooler area in shade of trees. Enjoyable !,none,nan
"Kinda confused as to whether or not the theater is being used. It was fenced in during my last visit on 9.22.18. however, the stage and surrounding building's are in good shape and up keep.",none,nan
Worthwhile,none,nan
Great musical performances,none,nan
Great musical,none,nan
Free,none,nan
One stop shop for wax and brow threading. I love coming here. They slay my brows EVERY TIME. My come out feeling like a brand new woman! Highly recommended.,none,nan
This was my first time getting a Brazilian wax and the technicians made me feel extremely comfortable. They worked quickly and gave me clear instructions for after care. I will definitely return.,none,nan
A++++ service here. I have become a regular client,none,nan
"I'm torn. I have had my eyelashes and eyebrows tinted, and well as brows threaded, at silky smooth several times. The first few times, I was pleased and actually felt the services were better than high end salons that provide the same services. However, the past few times the services have been inconsistent and highly dependent on the individual providing the services. Unevenly colored brows. Bluntly ended brows. Lashes that are not anywhere black. I definitely don't go out of my way to come her",none,nan
"My favorite place to get my brows done. They always have a spot without any reservations, they are fast and good price. I always leave happy with my perfect brows. I don't have any preference, always go with whoever is available and never left disappointed. Highly recommend!",none,nan
